country,country_code,city,place_name,category,description,rating,entry_fee_usd,visit_duration_hrs,best_time_to_visit,tags,lat,lon,is_unesco,continent,nearest_airport_iata,nearest_airport_name,avg_flight_price_usd
Greece,GR,Santorini,Oia Sunset Village,Landmark,Iconic white-washed clifftop village with world-famous Aegean sunsets,4.9,0,4,Sunset,"Sunset,Photography,Romance,Views",36.4618,25.3753,No,Europe,JTR,Santorini Airport,
Greece,GR,Meteora,Meteora Monasteries,Heritage,Byzantine monasteries perched on towering sandstone pillars,4.9,4,5,Morning,"UNESCO,Monasteries,Nature,Photography",39.7217,21.6306,Yes,Europe,KZI,Filippos Airport,
Greece,GR,Crete,Palace of Knossos,Heritage,"Bronze Age archaeological site of the Minoan civilisation, Europe's oldest city",4.5,15,2,Morning,"Ancient,Minoan,History,Archaeology",35.2983,25.1638,No,Europe,HER,Heraklion International Nikos Kazantzakis Airport,
Turkey,TR,Istanbul,Hagia Sophia,Landmark,Majestic 6th-century cathedral-turned-mosque with massive dome,4.8,0,2,Morning,"Byzantine,Architecture,History,Free",41.0086,28.9802,Yes,Europe,ISL,Atatürk International Airport,460.0
Turkey,TR,Istanbul,Topkapi Palace,Palace,Ottoman imperial palace housing sacred relics and treasury jewels,4.7,15,3,Morning,"Ottoman,Palace,History,Jewels",41.0115,28.9833,Yes,Europe,ISL,Atatürk International Airport,460.0
Turkey,TR,Cappadocia,Cappadocia Hot Air Balloons,Nature,"Surreal lunar landscape with fairy chimneys, best at sunrise by balloon",4.9,150,3,Sunrise,"Balloon,Landscape,Photography,Unique",38.6437,34.8287,Yes,Europe,NAV,Nevşehir Kapadokya Airport,
Turkey,TR,Pamukkale,Pamukkale Thermal Pools,Nature,Cotton-white calcium terraces with thermal mineral-rich pools,4.8,12,4,Morning,"UNESCO,Thermal,Nature,Photography",37.9204,29.1204,Yes,Europe,DNZ,Çardak Airport,
Portugal,PT,Lisbon,Belém Tower,Landmark,"16th-century fortified tower, symbol of the Age of Discovery",4.7,10,2,Morning,"UNESCO,History,Architecture,Discovery",38.6916,-9.216,Yes,Europe,LIS,Humberto Delgado Airport (Lisbon Portela Airport),
Portugal,PT,Sintra,Pena Palace,Palace,Colourful Romantic palace on a hilltop with panoramic views,4.8,14,3,Morning,"Palace,Architecture,Views,Romantic",38.7876,-9.3906,Yes,Europe,CAT,Cascais Airport,
Portugal,PT,Porto,Livraria Lello Bookshop,Landmark,One of world's most beautiful bookshops; Neo-Gothic architecture,4.7,5,1,Morning,"Bookshop,Architecture,Photography,Harry Potter",41.147,-8.6151,No,Europe,OPO,Francisco de Sá Carneiro Airport,
Switzerland,CH,Interlaken,Jungfraujoch - Top of Europe,Nature,Highest railway station in Europe with stunning Alpine panoramas,4.8,130,6,Clear days,"Alps,Snow,Railway,Views",46.5476,7.9787,No,Europe,ZIN,Interlaken Air Base,
Switzerland,CH,Zurich,Old Town Zurich (Altstadt),Landmark,"Medieval old town with narrow cobbled alleys, churches and guild halls",4.6,0,3,Any time,"History,Architecture,Walking,Free",47.3769,8.5417,No,Europe,ZRH,Zürich Airport,
Switzerland,CH,Lucerne,Chapel Bridge,Landmark,Europe's oldest covered wooden bridge (1333) with painted panels,4.8,0,1,Morning,"Bridge,History,Photography,Medieval",47.0508,8.3093,No,Europe,EML,Emmen Air Base,
Austria,AT,Vienna,Schönbrunn Palace,Palace,"Imperial baroque palace with 1,441 rooms and manicured gardens",4.8,23,4,Morning,"Habsburg,Palace,UNESCO,Gardens",48.1845,16.3122,Yes,Europe,VIE,Vienna International Airport,
Austria,AT,Vienna,Vienna State Opera,Landmark,One of the world's leading opera houses opened in 1869,4.7,15,3,Evening,"Opera,Music,Architecture,Culture",48.203,16.3694,No,Europe,VIE,Vienna International Airport,
Austria,AT,Salzburg,Mozart's Birthplace,Museum,"Birthplace of Wolfgang Amadeus Mozart, now a fascinating museum",4.6,13,2,Morning,"Music,Mozart,History,Culture",47.8007,13.0441,No,Europe,SZG,Salzburg Airport,
Czech Republic,CZ,Prague,Prague Castle,Landmark,World's largest ancient castle complex overlooking the city,4.8,15,4,Morning,"Castle,History,Architecture,Views",50.091,14.4019,No,Europe,PRG,Václav Havel Airport Prague,
Czech Republic,CZ,Prague,Charles Bridge,Landmark,14th-century stone bridge adorned with baroque statues,4.8,0,1,Sunrise,"Bridge,Medieval,Photography,Free",50.0865,14.4114,No,Europe,PRG,Václav Havel Airport Prague,
Hungary,HU,Budapest,Buda Castle,Landmark,Historic castle and palace complex on Buda's Castle Hill,4.7,8,3,Afternoon,"Castle,History,Views,Architecture",47.496,19.0398,Yes,Europe,BUD,Budapest Liszt Ferenc International Airport,
Hungary,HU,Budapest,Széchenyi Thermal Bath,Wellness,Grand 1913 neo-baroque spa with 18 pools in a stunning building,4.7,20,3,Any time,"Thermal,Spa,Architecture,Wellness",47.5189,19.0815,No,Europe,BUD,Budapest Liszt Ferenc International Airport,
Poland,PL,Krakow,Wawel Castle,Landmark,Royal castle and cathedral on limestone hill above the Vistula River,4.7,8,3,Morning,"Castle,History,Royal,Architecture",50.0541,19.9354,Yes,Europe,KRK,Kraków John Paul II International Airport,
Poland,PL,Auschwitz,Auschwitz-Birkenau Memorial,Heritage,Most powerful reminder of the Holocaust; UNESCO World Heritage Site,5.0,0,4,Morning,"Memorial,History,Holocaust,UNESCO",50.0314,19.2044,Yes,Europe,KRK,Kraków John Paul II International Airport,
Croatia,HR,Dubrovnik,Dubrovnik Old Town Walls,Landmark,"Medieval city walls offering spectacular Adriatic views, Game of Thrones filming location",4.9,35,3,Sunrise,"Medieval,UNESCO,Walls,Game of Thrones",42.6507,18.0944,Yes,Europe,DBV,Dubrovnik Airport,
Croatia,HR,Plitvice Lakes,Plitvice Lakes National Park,Nature,Series of terraced lakes and waterfalls in emerald forest,4.9,40,6,Spring-Fall,"UNESCO,Lakes,Waterfalls,Nature",44.8667,15.5822,Yes,Europe,ZAD,Zadar Airport,
Ireland,IE,Dublin,Trinity College & Book of Kells,Museum,Ireland's oldest university housing the 9th-century illuminated manuscript,4.7,16,2,Morning,"History,Medieval,Book,Culture",53.3438,-6.2546,No,Europe,DUB,Dublin Airport,
Ireland,IE,Clare,Cliffs of Moher,Nature,Dramatic sea cliffs rising 214m above the Atlantic on Ireland's Wild Atlantic Way,4.8,8,3,Morning,"Nature,Cliffs,Photography,Atlantic",52.9718,-9.4267,No,Europe,INQ,Inisheer Aerodrome,
Belgium,BE,Brussels,Atomium,Landmark,"Iconic building shaped like an iron crystal, built for 1958 World's Fair",4.6,16,2,Any time,"Architecture,Science,Unique,Photography",50.8947,4.3415,No,Europe,BRU,Brussels Airport,
Belgium,BE,Bruges,Historic Centre of Bruges,Heritage,"Perfectly preserved medieval city with canals, horse-drawn carriages and chocolate shops",4.8,0,6,Spring & Fall,"UNESCO,Medieval,Canals,Chocolate",51.2093,3.2247,Yes,Europe,OST,Ostend-Bruges International Airport,
Iceland,IS,Reykjavik,Northern Lights Viewing,Nature,Spectacular natural light display (Aurora Borealis) visible Sep-Mar,4.9,0,4,September-March,"Aurora,Northern Lights,Nature,Photography",64.1355,-21.8954,No,Europe,RKV,Reykjavik Airport,
Iceland,IS,South Coast,Blue Lagoon Geothermal Spa,Wellness,Iconic milky-blue geothermal pool in a lava field,4.7,70,3,Any time,"Spa,Geothermal,Unique,Wellness",63.8803,-22.4495,No,Europe,KEF,Keflavik International Airport,
Norway,NO,Bergen,Bryggen Wharf,Heritage,UNESCO-listed colourful wooden buildings at Bergen's historic wharf,4.7,0,3,Any time,"UNESCO,Architecture,Photography,Medieval",60.3975,5.3244,Yes,Europe,BGO,Bergen Airport Flesland,
Norway,NO,Flam,Flam Railway (Flåmsbana),Landmark,One of world's steepest railway journeys through dramatic fjord landscapes,4.9,45,2,Any time,"Fjord,Railway,Scenic,Nature",60.8634,7.1167,No,Europe,SOG,Sogndal Airport,
Sweden,SE,Stockholm,Vasa Museum,Museum,17th-century warship salvaged after 333 years — the world's best-preserved such ship,4.8,18,3,Weekday,"History,Ship,Museum,Unique",59.328,18.091,No,Europe,BMA,Stockholm-Bromma Airport,
Sweden,SE,Swedish Lapland,Abisko National Park,Nature,Prime location for Northern Lights viewing and Midnight Sun experiences,4.9,0,8,"Sep-Mar (Aurora), Jun-Jul (Midnight Sun)","Northern Lights,Arctic,Nature,Midnight Sun",68.35,18.8333,No,Europe,KRN,Kiruna Airport,
Denmark,DK,Copenhagen,Tivoli Gardens,Park,"World's second-oldest amusement park (1843) with rides, concerts and fireworks",4.7,18,4,Evening,"Amusement,Gardens,Historic,Entertainment",55.6736,12.5681,No,Europe,CPH,Copenhagen Kastrup Airport,
Denmark,DK,Copenhagen,The Little Mermaid,Landmark,Iconic 1913 bronze statue based on Hans Christian Andersen's fairy tale,4.4,0,1,Any time,"Statue,Fairy-tale,Iconic,Photography",55.6929,12.5994,No,Europe,CPH,Copenhagen Kastrup Airport,
Japan,JP,Tokyo,Senso-ji Temple,Spiritual,Tokyo's oldest temple in Asakusa with massive lantern and Nakamise shopping street,4.8,0,3,Early morning,"Temple,History,Free,Spiritual",35.7148,139.7967,No,Asia,HND,Tokyo Haneda International Airport,690.0
Japan,JP,Tokyo,Shibuya Crossing,Landmark,World's busiest pedestrian scramble crossing — pure Tokyo energy,4.7,0,1,Evening,"Iconic,Photography,Free,Urban",35.6595,139.7004,No,Asia,HND,Tokyo Haneda International Airport,690.0
Japan,JP,Kyoto,Fushimi Inari Shrine,Spiritual,Thousands of vermilion torii gates weaving through forested hills,4.9,0,4,Sunrise,"Shinto,Photography,Free,Hiking",34.9671,135.7727,No,Asia,ITM,Osaka International Airport,
Japan,JP,Kyoto,Arashiyama Bamboo Grove,Nature,Enchanting path through towering bamboo stalks on Kyoto's outskirts,4.8,0,2,Early morning,"Nature,Photography,Free,Peaceful",35.0094,135.672,No,Asia,ITM,Osaka International Airport,
Japan,JP,Kyoto,Kinkaku-ji (Golden Pavilion),Landmark,Zen Buddhist temple covered in gold leaf reflected in a mirror pond,4.8,5,2,Morning,"Zen,Gold,Architecture,Photography",35.0394,135.7292,Yes,Asia,ITM,Osaka International Airport,
Japan,JP,Nara,Nara Deer Park,Nature,"Ancient park where over 1,000 freely roaming sacred deer interact with visitors",4.8,0,3,Any time,"Deer,Nature,Free,Peaceful",34.6843,135.8395,No,Asia,ITM,Osaka International Airport,
Japan,JP,Hiroshima,Peace Memorial Museum,Museum,Powerful tribute to atomic bomb victims; one of the world's most moving museums,4.9,2,3,Morning,"Peace,History,Memorial,WWII",34.3955,132.4534,Yes,Asia,HIW,Hiroshimanishi Airport,
Japan,JP,Osaka,Dotonbori District,Landmark,"Neon-lit entertainment strip with street food, theatres and the iconic Glico Man sign",4.7,0,4,Evening,"Street Food,Nightlife,Photography,Food",34.6687,135.5013,No,Asia,ITM,Osaka International Airport,
China,CN,Beijing,Great Wall of China (Mutianyu),Heritage,"Ancient defensive wall stretching 21,196 km; a wonder of the ancient world",4.9,25,5,Spring & Fall,"UNESCO,Historic,Hiking,Photography",40.4319,116.5704,Yes,Asia,PEK,Beijing Capital International Airport,
China,CN,Beijing,Forbidden City,Palace,World's largest palace complex with 980 buildings from the Ming dynasty,4.8,15,4,Morning,"UNESCO,Palace,History,Ming Dynasty",39.9163,116.3972,Yes,Asia,NAY,Beijing Nanyuan Airport,
China,CN,Shanghai,The Bund,Landmark,Historic waterfront with colonial buildings facing the futuristic Pudong skyline,4.7,0,3,Evening,"Architecture,Views,Photography,Free",31.2397,121.49,No,Asia,SHA,Shanghai Hongqiao International Airport,
China,CN,Xi'an,Terracotta Army,Heritage,"8,000 life-sized warriors buried with Emperor Qin Shi Huang in 210 BC",4.9,24,4,Morning,"UNESCO,Ancient,History,Archaeology",34.3847,109.2734,Yes,Asia,SIA,Xi'an Xiguan Airport,
China,CN,Guilin,Li River Cruise,Nature,Otherworldly karst limestone peaks rising from jade-green river,4.8,55,4,Spring & Fall,"Scenic,Cruise,Nature,Photography",24.9,110.55,No,Asia,KWL,Guilin Liangjiang International Airport,
India,IN,Agra,Taj Mahal,Heritage,"Ivory-white marble mausoleum, UNESCO site and symbol of eternal love",4.9,15,3,Sunrise,"UNESCO,Architecture,Romance,Mughal",27.1751,78.0421,Yes,Asia,AGR,Agra Airport,
India,IN,Delhi,Red Fort,Heritage,"Massive red sandstone Mughal fortress, seat of power for generations",4.6,8,3,Morning,"Mughal,History,UNESCO,Architecture",28.6562,77.241,Yes,Asia,DEL,Indira Gandhi International Airport,
India,IN,Jaipur,Amber Fort,Landmark,"Majestic hilltop fort with ornate palaces, courtyards and elephant rides",4.8,7,3,Morning,"Rajput,Fort,Architecture,Views",26.9855,75.8513,Yes,Asia,JAI,Jaipur International Airport,
India,IN,Varanasi,Ghats of Varanasi,Spiritual,Ancient riverfront steps on the Ganges — Hinduism's holiest city,4.7,0,4,Sunrise,"Spiritual,Ganga,Photography,Hindu",25.3176,83.0073,No,Asia,VNS,Lal Bahadur Shastri Airport,
India,IN,Kerala,Backwaters of Kerala,Nature,"Tranquil network of lagoons, lakes and canals along the Malabar Coast",4.8,30,8,Oct-Mar,"Houseboat,Nature,Peaceful,Scenic",9.5916,76.5222,No,Asia,COK,Cochin International Airport,
India,IN,Goa,Baga Beach,Beach,"India's most famous beach with white sand, seafood shacks and nightlife",4.5,0,6,Nov-Feb,"Beach,Party,Seafood,Nightlife",15.5533,73.7517,No,Asia,GOI,Dabolim Airport,
Thailand,TH,Bangkok,Wat Phra Kaew (Temple of Emerald Buddha),Spiritual,Thailand's most sacred Buddhist temple within the Grand Palace complex,4.8,15,3,Morning,"Buddhist,Temple,Gold,Sacred",13.7516,100.4928,No,Asia,DMK,Don Mueang International Airport,588.0
Thailand,TH,Bangkok,Floating Markets,Market,"Traditional wooden boats selling tropical fruits, food and goods on canals",4.6,0,4,Morning,"Market,Boats,Culture,Food",13.528,100.08,No,Asia,KDT,Kamphaeng Saen Airport,588.0
Thailand,TH,Chiang Mai,Doi Inthanon National Park,Nature,"Thailand's highest peak with stunning waterfalls, hilltribe villages and trekking",4.7,9,8,Nov-Apr,"Nature,Hiking,Waterfalls,Hilltribes",18.5881,98.4866,No,Asia,CNX,Chiang Mai International Airport,
Thailand,TH,Phuket,Phi Phi Islands,Beach,Stunning turquoise lagoons and white beaches made famous by The Beach (2000),4.8,30,8,Nov-Apr,"Beach,Islands,Snorkelling,Photography",7.7407,98.7784,No,Asia,KBV,Krabi Airport,
Thailand,TH,Ayutthaya,Ayutthaya Historical Park,Heritage,Ancient capital's ruins with headless Buddha statues and grand temple remains,4.7,8,4,Morning,"UNESCO,History,Buddhist,Ruins",14.3561,100.56,Yes,Asia,DMK,Don Mueang International Airport,
Indonesia,ID,Bali,Tanah Lot Temple,Spiritual,"Sea temple perched on a rocky outcrop, iconic at sunset",4.8,5,3,Sunset,"Temple,Sunset,Spiritual,Photography",8.621,-8.621,No,Asia,SBG,Maimun Saleh Airport,626.0
Indonesia,ID,Bali,Tegallalang Rice Terraces,Nature,Stunning ancient subak irrigation rice terraces (UNESCO),4.7,5,3,Early morning,"UNESCO,Rice,Nature,Photography",-8.4312,115.2798,Yes,Asia,DPS,Ngurah Rai (Bali) International Airport,626.0
Indonesia,ID,Bali,Uluwatu Temple,Spiritual,Clifftop sea temple with dramatic ocean views and daily Kecak fire dance,4.8,4,3,Sunset,"Temple,Cliff,Dance,Sunset",-8.8292,115.0849,No,Asia,DPS,Ngurah Rai (Bali) International Airport,626.0
Indonesia,ID,Yogyakarta,Borobudur Temple,Heritage,World's largest Buddhist temple and 9th-century UNESCO masterpiece,4.9,25,4,Sunrise,"UNESCO,Buddhist,Ancient,Photography",-7.6079,110.2038,Yes,Asia,JOG,Adi Sutjipto International Airport,
Indonesia,ID,Komodo Island,Komodo National Park,Nature,Home to Komodo dragons — world's largest living lizards,4.8,30,8,Apr-Dec,"UNESCO,Wildlife,Komodo,Diving",-8.5432,119.4816,Yes,Asia,LBJ,Komodo Airport,
Vietnam,VN,Ha Long Bay,Ha Long Bay Cruise,Nature,Thousands of limestone karst islands rising from emerald waters,4.9,80,8,Mar-Nov,"UNESCO,Cruise,Limestone,Photography",20.9101,107.1839,Yes,Asia,HPH,Cat Bi International Airport,
Vietnam,VN,Hoi An,Hoi An Ancient Town,Heritage,Exceptionally well-preserved 15th-century trading port with colourful lanterns,4.8,5,6,Evening,"UNESCO,Lanterns,History,Shopping",15.8794,108.338,Yes,Asia,DAD,Da Nang International Airport,
Vietnam,VN,Hanoi,Hoan Kiem Lake & Ngoc Son Temple,Landmark,Sacred lake in Hanoi's heart with a picturesque bridge and turtle legend,4.7,0,2,Early morning,"Legend,Temple,Photography,Free",21.0285,105.8542,No,Asia,HAN,Noi Bai International Airport,
Vietnam,VN,Sapa,Sapa Rice Terraces & Trekking,Nature,Stunning Hmong-terraced valleys with village trekking through minority cultures,4.8,0,8,Sep-Nov & Mar-May,"Trekking,Terraces,Culture,Nature",22.3364,103.8438,No,Asia,SQH,Na-San Airport,
Cambodia,KH,Siem Reap,Angkor Wat,Heritage,World's largest religious monument — 12th-century Khmer masterpiece,4.9,37,8,Sunrise,"UNESCO,Temple,Ancient,Photography",13.4125,103.867,Yes,Asia,REP,Siem Reap International Airport,
Cambodia,KH,Siem Reap,Bayon Temple,Heritage,Unique 12th-century temple famous for 216 serene stone faces,4.8,37,3,Morning,"Khmer,Faces,Ancient,History",13.4414,103.8592,Yes,Asia,REP,Siem Reap International Airport,
South Korea,KR,Seoul,Gyeongbokgung Palace,Palace,"Joseon dynasty's main royal palace, beautifully restored and active",4.7,3,3,Morning,"Joseon,Palace,History,Culture",37.5796,126.977,No,Asia,GMP,Gimpo International Airport,350.0
South Korea,KR,Seoul,N Seoul Tower (Namsan),Landmark,Communications tower with observation deck and panoramic city views,4.6,18,3,Evening,"Views,Romantic,Photography,Urban",37.5512,126.9882,No,Asia,SSN,Seoul Air Base (K-16),350.0
South Korea,KR,Jeju Island,Hallasan National Park,Nature,"Volcanic island with Korea's highest peak, craters and subtropical forests",4.7,0,8,Spring & Fall,"Volcano,Nature,Hiking,UNESCO",33.3617,126.5292,Yes,Asia,CJU,Jeju International Airport,
Taiwan,TW,Taipei,Taipei 101,Landmark,89-floor skyscraper — former world's tallest building with 360° observatory,4.7,20,2,Evening,"Architecture,Views,Photography,Urban",25.033,121.5654,No,Asia,TSA,Taipei Songshan Airport,
Taiwan,TW,Taroko,Taroko Gorge,Nature,"Dramatic marble canyon with suspension bridges, temples and waterfalls",4.9,0,8,Mar-May & Sep-Nov,"Nature,Gorge,Hiking,Photography",24.1574,121.6215,No,Asia,HUN,Hualien Airport,
Singapore,SG,Singapore,Gardens by the Bay,Park,Futuristic nature park with iconic Supertrees and indoor cloud forest,4.8,30,4,Evening,"Futuristic,Gardens,Photography,Urban",1.2816,103.8636,No,Asia,QPG,Paya Lebar Air Base,638.0
Singapore,SG,Singapore,Marina Bay Sands SkyPark,Landmark,Iconic hotel with rooftop infinity pool and panoramic city views,4.7,25,2,Sunset,"Skyline,Photography,Luxury,Views",1.2834,103.8607,No,Asia,QPG,Paya Lebar Air Base,638.0
Malaysia,MY,Kuala Lumpur,Petronas Twin Towers,Landmark,World's tallest twin towers (451m) with sky bridge and city views,4.7,25,3,Evening,"Architecture,Skyscraper,Photography,Urban",3.1578,101.7118,No,Asia,SZB,Sultan Abdul Aziz Shah International Airport,200.0
Malaysia,MY,Penang,George Town Heritage Sites,Heritage,UNESCO historic trading port with vivid street art and multicultural heritage,4.7,0,5,Morning,"UNESCO,Street Art,Culture,Food",5.4141,100.3288,Yes,Asia,BWH,Butterworth Airport,
Nepal,NP,Kathmandu,Boudhanath Stupa,Spiritual,One of world's largest stupas and UNESCO World Heritage Site,4.8,3,2,Morning,"Buddhist,UNESCO,Stupa,Spiritual",27.7215,85.362,Yes,Asia,KTM,Tribhuvan International Airport,
Nepal,NP,Pokhara,Annapurna Base Camp Trek,Nature,"Multi-day Himalayan trek through rhododendron forests to 4,130m base camp",5.0,0,8,Oct-Nov & Mar-Apr,"Trekking,Himalaya,Nature,Camping",28.5305,83.8765,No,Asia,NGX,Manang Airport,
